object_id,subset,source,source_uid,source_model_path,texture_root,format,has_mesh,has_uv,has_albedo,has_normal,has_roughness,has_metallic,roughness_valid,metallic_valid,material_slot_count,needs_conversion,needs_material_bake,audit_status,reject_reason,license,notes,audit_time,auditor
abo_000996dae516e9f3a4a7,ecommerce,abo_selected,abo_000996dae516e9f3a4a7,/4T/CXY/Neural_Gaffer_original/external_sources/downloads/abo_selected/4/B07NYSH2S4.glb,/4T/CXY/Neural_Gaffer_original/external_sources/downloads/abo_selected/4,glb,true,true,true,true,true,true,true,true,1,false,false,A_ready,,,uv_and_pbr_channels_present; albedo=factor+texture; roughness=factor+texture; metallic=factor+texture,2026-04-16T03:59:48Z,second_pass_glb_json_probe_v1
abo_0054874c26e5aece25cb,ecommerce,abo_selected,abo_0054874c26e5aece25cb,/4T/CXY/Neural_Gaffer_original/external_sources/downloads/abo_selected/S/B075QGD5HS.glb,/4T/CXY/Neural_Gaffer_original/external_sources/downloads/abo_selected/S,glb,true,true,true,true,true,true,true,true,1,false,false,A_ready,,,uv_and_pbr_channels_present; albedo=texture; roughness=texture; metallic=texture,2026-04-16T03:59:48Z,second_pass_glb_json_probe_v1
abo_0067c17eb1e459f35597,ecommerce,abo_selected,abo_0067c17eb1e459f35597,/4T/CXY/Neural_Gaffer_original/external_sources/downloads/abo_selected/4/B08G1RYJ84.glb,/4T/CXY/Neural_Gaffer_original/external_sources/downloads/abo_selected/4,glb,true,true,true,true,true,true,true,true,1,false,false,A_ready,,,uv_and_pbr_channels_present; albedo=factor+texture; roughness=factor+texture; metallic=factor+texture,2026-04-16T03:59:48Z,second_pass_glb_json_probe_v1
abo_00936ff8a0008f61487a,ecommerce,abo_selected,abo_00936ff8a0008f61487a,/4T/CXY/Neural_Gaffer_original/external_sources/downloads/abo_selected/8/B0732L9718.glb,/4T/CXY/Neural_Gaffer_original/external_sources/downloads/abo_selected/8,glb,true,true,true,true,true,true,true,true,1,false,false,A_ready,,,uv_and_pbr_channels_present; albedo=factor+texture; roughness=factor+texture; metallic=factor+texture,2026-04-16T03:59:48Z,second_pass_glb_json_probe_v1
abo_009c86393b784d849100,ecommerce,abo_selected,abo_009c86393b784d849100,/4T/CXY/Neural_Gaffer_original/external_sources/downloads/abo_selected/R/B07B4M68JR.glb,/4T/CXY/Neural_Gaffer_original/external_sources/downloads/abo_selected/R,glb,true,true,true,true,true,true,true,true,1,false,false,A_ready,,,uv_and_pbr_channels_present; albedo=factor+texture; roughness=factor+texture; metallic=factor+texture,2026-04-16T03:59:48Z,second_pass_glb_json_probe_v1
abo_00c1103c1efeb4fb873c,ecommerce,abo_selected,abo_00c1103c1efeb4fb873c,/4T/CXY/Neural_Gaffer_original/external_sources/downloads/abo_selected/Z/B07H8SQ2NZ.glb,/4T/CXY/Neural_Gaffer_original/external_sources/downloads/abo_selected/Z,glb,true,true,true,true,true,true,true,true,1,false,false,A_ready,,,uv_and_pbr_channels_present; albedo=factor+texture; roughness=factor+texture; metallic=factor+texture,2026-04-16T03:59:48Z,second_pass_glb_json_probe_v1
abo_00ea299698383478b5fb,ecommerce,abo_selected,abo_00ea299698383478b5fb,/4T/CXY/Neural_Gaffer_original/external_sources/downloads/abo_selected/P/B07HP8Z5YP.glb,/4T/CXY/Neural_Gaffer_original/external_sources/downloads/abo_selected/P,glb,true,true,true,true,true,true,true,true,1,false,false,A_ready,,,uv_and_pbr_channels_present; albedo=texture; roughness=texture; metallic=texture,2026-04-16T03:59:48Z,second_pass_glb_json_probe_v1
abo_00f1910fb78981bf2422,ecommerce,abo_selected,abo_00f1910fb78981bf2422,/4T/CXY/Neural_Gaffer_original/external_sources/downloads/abo_selected/J/B07SHYRLNJ.glb,/4T/CXY/Neural_Gaffer_original/external_sources/downloads/abo_selected/J,glb,true,true,true,true,true,true,true,true,1,false,false,A_ready,,,uv_and_pbr_channels_present; albedo=texture; roughness=texture; metallic=texture,2026-04-16T03:59:48Z,second_pass_glb_json_probe_v1
abo_016903c69289e6e3407e,ecommerce,abo_selected,abo_016903c69289e6e3407e,/4T/CXY/Neural_Gaffer_original/external_sources/downloads/abo_selected/J/B07P5LNMMJ.glb,/4T/CXY/Neural_Gaffer_original/external_sources/downloads/abo_selected/J,glb,true,true,true,true,true,true,true,true,1,false,false,A_ready,,,uv_and_pbr_channels_present; albedo=factor+texture; roughness=factor+texture; metallic=factor+texture,2026-04-16T03:59:48Z,second_pass_glb_json_probe_v1
abo_01750a08c415bc81d493,ecommerce,abo_selected,abo_01750a08c415bc81d493,/4T/CXY/Neural_Gaffer_original/external_sources/downloads/abo_selected/1/B074KKXLK1.glb,/4T/CXY/Neural_Gaffer_original/external_sources/downloads/abo_selected/1,glb,true,true,true,true,true,true,true,true,1,false,false,A_ready,,,uv_and_pbr_channels_present; albedo=factor+texture; roughness=factor+texture; metallic=factor+texture,2026-04-16T03:59:48Z,second_pass_glb_json_probe_v1
abo_019b2a50efc594bfd2b3,ecommerce,abo_selected,abo_019b2a50efc594bfd2b3,/4T/CXY/Neural_Gaffer_original/external_sources/downloads/abo_selected/6/B084HTZ2C6.glb,/4T/CXY/Neural_Gaffer_original/external_sources/downloads/abo_selected/6,glb,true,true,true,true,true,true,true,true,1,false,false,A_ready,,,uv_and_pbr_channels_present; albedo=factor+texture; roughness=factor+texture; metallic=factor+texture,2026-04-16T03:59:48Z,second_pass_glb_json_probe_v1
