object_id,subset,source,source_uid,source_model_path,texture_root,format,has_mesh,has_uv,has_albedo,has_normal,has_roughness,has_metallic,roughness_valid,metallic_valid,material_slot_count,needs_conversion,needs_material_bake,audit_status,reject_reason,license,notes,audit_time,auditor
kenney_fallback_0057e08c69cb6b097147,landscape,kenney_selected,kenney_fallback_0057e08c69cb6b097147,/4T/CXY/Neural_Gaffer_original/external_sources/downloads/kenney_selected/kenney_city-kit-roads/Models/GLB format/road-curve-intersection-barrier.glb,/4T/CXY/Neural_Gaffer_original/external_sources/downloads/kenney_selected/kenney_city-kit-roads/Models/GLB format,glb,true,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,false,unknown,B_fixable,needs_material_probe,,main_pool_candidate,2026-04-16T03:12:40Z,first_pass_auto_v1
kenney_fallback_00c006b808c8ece9fec3,landscape,kenney_selected,kenney_fallback_00c006b808c8ece9fec3,/4T/CXY/Neural_Gaffer_original/external_sources/downloads/kenney_selected/kenney_city-kit-roads/Models/OBJ format/road-straight-barrier-half.obj,/4T/CXY/Neural_Gaffer_original/external_sources/downloads/kenney_selected/kenney_city-kit-roads/Models/OBJ format,obj,true,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,true,unknown,B_fixable,needs_obj_to_glb;needs_material_probe,,main_pool_candidate,2026-04-16T03:12:40Z,first_pass_auto_v1
kenney_fallback_00ceeb2a254ab15b67e3,landscape,kenney_selected,kenney_fallback_00ceeb2a254ab15b67e3,/4T/CXY/Neural_Gaffer_original/external_sources/downloads/kenney_selected/kenney_city-kit-roads/Models/FBX format/light-square.fbx,/4T/CXY/Neural_Gaffer_original/external_sources/downloads/kenney_selected/kenney_city-kit-roads/Models/FBX format,fbx,true,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,true,unknown,B_fixable,needs_fbx_to_glb;needs_material_probe,,main_pool_candidate,2026-04-16T03:12:40Z,first_pass_auto_v1
kenney_fallback_014575c256bc4a04f4ea,landscape,kenney_selected,kenney_fallback_014575c256bc4a04f4ea,/4T/CXY/Neural_Gaffer_original/external_sources/downloads/kenney_selected/kenney_graveyard-kit_5.0/Models/FBX format/character-zombie.fbx,/4T/CXY/Neural_Gaffer_original/external_sources/downloads/kenney_selected/kenney_graveyard-kit_5.0/Models/FBX format,fbx,true,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,true,unknown,B_fixable,needs_fbx_to_glb;needs_material_probe,,main_pool_candidate,2026-04-16T03:12:40Z,first_pass_auto_v1
kenney_fallback_02a695c4c198e255e87a,landscape,kenney_selected,kenney_fallback_02a695c4c198e255e87a,/4T/CXY/Neural_Gaffer_original/external_sources/downloads/kenney_selected/kenney_city-kit-roads/Models/OBJ format/light-square.obj,/4T/CXY/Neural_Gaffer_original/external_sources/downloads/kenney_selected/kenney_city-kit-roads/Models/OBJ format,obj,true,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,true,unknown,B_fixable,needs_obj_to_glb;needs_material_probe,,main_pool_candidate,2026-04-16T03:12:40Z,first_pass_auto_v1
kenney_fallback_02a6ddbad92fef69a404,landscape,kenney_selected,kenney_fallback_02a6ddbad92fef69a404,/4T/CXY/Neural_Gaffer_original/external_sources/downloads/kenney_selected/kenney_castle-kit/Models/FBX format/tower-square-base-color.fbx,/4T/CXY/Neural_Gaffer_original/external_sources/downloads/kenney_selected/kenney_castle-kit/Models/FBX format,fbx,true,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,true,unknown,B_fixable,needs_fbx_to_glb;needs_material_probe,,main_pool_candidate,2026-04-16T03:12:40Z,first_pass_auto_v1
kenney_fallback_03c4c5c25d130c0b9fb0,landscape,kenney_selected,kenney_fallback_03c4c5c25d130c0b9fb0,/4T/CXY/Neural_Gaffer_original/external_sources/downloads/kenney_selected/kenney_city-kit-roads/Models/FBX format/road-slant-curve.fbx,/4T/CXY/Neural_Gaffer_original/external_sources/downloads/kenney_selected/kenney_city-kit-roads/Models/FBX format,fbx,true,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,true,unknown,B_fixable,needs_fbx_to_glb;needs_material_probe,,main_pool_candidate,2026-04-16T03:12:40Z,first_pass_auto_v1
kenney_fallback_04526d82e0c0c7715745,landscape,kenney_selected,kenney_fallback_04526d82e0c0c7715745,/4T/CXY/Neural_Gaffer_original/external_sources/downloads/kenney_selected/kenney_city-kit-roads/Models/GLB format/road-end-round-barrier.glb,/4T/CXY/Neural_Gaffer_original/external_sources/downloads/kenney_selected/kenney_city-kit-roads/Models/GLB format,glb,true,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,false,unknown,B_fixable,needs_material_probe,,main_pool_candidate,2026-04-16T03:12:40Z,first_pass_auto_v1
kenney_fallback_04681b6d8f55ffb4a264,landscape,kenney_selected,kenney_fallback_04681b6d8f55ffb4a264,/4T/CXY/Neural_Gaffer_original/external_sources/downloads/kenney_selected/kenney_city-kit-roads/Models/FBX format/road-slant-high.fbx,/4T/CXY/Neural_Gaffer_original/external_sources/downloads/kenney_selected/kenney_city-kit-roads/Models/FBX format,fbx,true,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,true,unknown,B_fixable,needs_fbx_to_glb;needs_material_probe,,main_pool_candidate,2026-04-16T03:12:40Z,first_pass_auto_v1
kenney_fallback_049f0de13517d9a7a067,landscape,kenney_selected,kenney_fallback_049f0de13517d9a7a067,/4T/CXY/Neural_Gaffer_original/external_sources/downloads/kenney_selected/kenney_castle-kit/Models/OBJ format/tower-hexagon-roof-secondary.obj,/4T/CXY/Neural_Gaffer_original/external_sources/downloads/kenney_selected/kenney_castle-kit/Models/OBJ format,obj,true,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,true,unknown,B_fixable,needs_obj_to_glb;needs_material_probe,,main_pool_candidate,2026-04-16T03:12:40Z,first_pass_auto_v1
kenney_fallback_053fd19c379fbb22e390,landscape,kenney_selected,kenney_fallback_053fd19c379fbb22e390,/4T/CXY/Neural_Gaffer_original/external_sources/downloads/kenney_selected/kenney_castle-kit/Models/FBX format/gate.fbx,/4T/CXY/Neural_Gaffer_original/external_sources/downloads/kenney_selected/kenney_castle-kit/Models/FBX format,fbx,true,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,true,unknown,B_fixable,needs_fbx_to_glb;needs_material_probe,,main_pool_candidate,2026-04-16T03:12:40Z,first_pass_auto_v1
kenney_fallback_059e184970c3cc7e2a02,landscape,kenney_selected,kenney_fallback_059e184970c3cc7e2a02,/4T/CXY/Neural_Gaffer_original/external_sources/downloads/kenney_selected/kenney_castle-kit/Models/GLB format/siege-trebuchet-demolished.glb,/4T/CXY/Neural_Gaffer_original/external_sources/downloads/kenney_selected/kenney_castle-kit/Models/GLB format,glb,true,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,false,unknown,B_fixable,needs_material_probe,,main_pool_candidate,2026-04-16T03:12:40Z,first_pass_auto_v1
kenney_fallback_0607591d0d16b9e53a21,landscape,kenney_selected,kenney_fallback_0607591d0d16b9e53a21,/4T/CXY/Neural_Gaffer_original/external_sources/downloads/kenney_selected/kenney_city-kit-roads/Models/OBJ format/road-straight-barrier-end.obj,/4T/CXY/Neural_Gaffer_original/external_sources/downloads/kenney_selected/kenney_city-kit-roads/Models/OBJ format,obj,true,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,true,unknown,B_fixable,needs_obj_to_glb;needs_material_probe,,main_pool_candidate,2026-04-16T03:12:40Z,first_pass_auto_v1
kenney_fallback_06685b0a383d72a73d4b,landscape,kenney_selected,kenney_fallback_06685b0a383d72a73d4b,/4T/CXY/Neural_Gaffer_original/external_sources/downloads/kenney_selected/kenney_city-kit-roads/Models/OBJ format/road-bend-sidewalk.obj,/4T/CXY/Neural_Gaffer_original/external_sources/downloads/kenney_selected/kenney_city-kit-roads/Models/OBJ format,obj,true,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,true,unknown,B_fixable,needs_obj_to_glb;needs_material_probe,,main_pool_candidate,2026-04-16T03:12:40Z,first_pass_auto_v1
kenney_fallback_069ec0904c2d9068a661,landscape,kenney_selected,kenney_fallback_069ec0904c2d9068a661,/4T/CXY/Neural_Gaffer_original/external_sources/downloads/kenney_selected/kenney_graveyard-kit_5.0/Models/FBX format/crypt-large-door.fbx,/4T/CXY/Neural_Gaffer_original/external_sources/downloads/kenney_selected/kenney_graveyard-kit_5.0/Models/FBX format,fbx,true,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,true,unknown,B_fixable,needs_fbx_to_glb;needs_material_probe,,main_pool_candidate,2026-04-16T03:12:40Z,first_pass_auto_v1
